position,caller,owner,healthFactor,healthFactorRaw,isLiquidatable,status,error
0x7519557dadE4EB0ed68991399459A4cFdc8558aC,0x8946eaC4374a8c155B8783543A6164473F39F9cA,0x8946eaC4374a8c155B8783543A6164473F39F9cA,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x61970D3f85f3740f8EA219e9cB2a66C0c1688218,0xD152D143770836bDcf1F9BD22b5666dD7b5768ab,0xD152D143770836bDcf1F9BD22b5666dD7b5768ab,1.799403,1799403094605482488,false,HEALTHY,""
0xF6A9fE2B2a2555119A3e65d2334f2B80dEAb6F65,0x14F2a65F4FC91a1bc04d89E788c2e6FD9B568C67,0x14F2a65F4FC91a1bc04d89E788c2e6FD9B568C67,1.183818,1183817590798402376,false,HEALTHY,""
0x5F3f6B3091ea61aBA1B689903D9ef20326Ba686d,0x6F1320B9b49452bf2912258591883a456e54dadB,0x6F1320B9b49452bf2912258591883a456e54dadB,1.020070,1020069927567450423,false,HEALTHY,""
0x19a8743F69cc48a9345a172615D17d8E4Ad957F3,0xF56068b1e895e4127aB0683842bA6078fC274449,0xF56068b1e895e4127aB0683842bA6078fC274449,1.088316,1088315895492207161,false,HEALTHY,""
0xc7c6d067f9F1F9AcB19F115e958A73C5C60F3F5B,0x8803d1575831C7565839D11a622B6fcd9E14fCFc,0x8803d1575831C7565839D11a622B6fcd9E14fCFc,1.058471,1058471252545382509,false,HEALTHY,""
0xe3ff899C6b1A14d75E0402bF60FD72701966CEEa,0xB4a726F320b429730b2F1d2165C2cE06B9328085,0xB4a726F320b429730b2F1d2165C2cE06B9328085,1.500794,1500793738416637188,false,HEALTHY,""
0xAAD4bAc400d556698816A171A82517a8Ea18c09A,0x5D96a8B27de90EA16f88ca404E6C5Ef9e86a9926,0x5D96a8B27de90EA16f88ca404E6C5Ef9e86a9926,1.058470,1058470363382539569,false,HEALTHY,""
0xA6E3dfA0345082B05678EE6DD5cA8112864D972B,0x3340D8Df32802932Ce54d71B9f90695B081b858E,0x3340D8Df32802932Ce54d71B9f90695B081b858E,2.408630,2408630176647145778,false,HEALTHY,""
0x55d8A6292f155e880FA43653C6ccF29De08ECb5E,0x3782AC86db0dC94EB92365C5ED155048F922Cc22,0x3782AC86db0dC94EB92365C5ED155048F922Cc22,1.040967,1040966819424722114,false,HEALTHY,""
0x716C57Ab27a5Be05a0649d2fbC793451704816FB,0x2a4EcEacEb2FFb4f4892Af3c7077cb6Fc78d65bB,0x2a4EcEacEb2FFb4f4892Af3c7077cb6Fc78d65bB,1.124624,1124623963823026359,false,HEALTHY,""
0xf43896De35dBf0Df0d5Ae03260455bA6a0Ac594b,0x3782AC86db0dC94EB92365C5ED155048F922Cc22,0x3782AC86db0dC94EB92365C5ED155048F922Cc22,1.080771,1080771456987194860,false,HEALTHY,""
0x43b92007c5D6293022aC1fC25DD69d3654DdE9aA,0x1A58cB9e50fDC03C290b1BC639A42Bb2b9A0B1e7,0x1A58cB9e50fDC03C290b1BC639A42Bb2b9A0B1e7,1.058469,1058469317383801574,false,HEALTHY,""
0x014Be12884D2452B6AE96bbDcCa242AB9Bde94b4,0xDB75D58e00106A8dfdbAf225Ff9257529cc37f53,0xDB75D58e00106A8dfdbAf225Ff9257529cc37f53,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x520fb0e06Fd8dd565288C807Ed32a01503FC9c23,0x873946b31bF2BAa6b5aF87Bb2414c747A75949b4,0x873946b31bF2BAa6b5aF87Bb2414c747A75949b4,1.352382,1352382431796450198,false,HEALTHY,""
0xa0B1c0358Dd12526447Bb29Eededa40753f5b110,0x622aa91fCcC96ad5e021E737e281C9AB83b2D2e9,0x622aa91fCcC96ad5e021E737e281C9AB83b2D2e9,1.020066,1020066034524336258,false,HEALTHY,""
0xf2dCa67f9E222f1CBC354774B060d359746f9e74,0xDB75D58e00106A8dfdbAf225Ff9257529cc37f53,0xDB75D58e00106A8dfdbAf225Ff9257529cc37f53,1.124623,1124623415735859142,false,HEALTHY,""
0x438f93f3c44C904DEaE63d07E83b27df6f101cc7,0x377503269080B604A002f8409E1C49Ab67A6EAd9,0x377503269080B604A002f8409E1C49Ab67A6EAd9,1.131845,1131845322742060000,false,HEALTHY,""
0x7f30607022d55BBFcd1a65936136aa8761ACB2Ec,0x469dCa9E10cc01B8a2887A4Fd9AA3f2D314A66B6,0x469dCa9E10cc01B8a2887A4Fd9AA3f2D314A66B6,1.058471,1058470652106463035,false,HEALTHY,""
0x5b0449f05905cf10D7A697656f7eee265023b253,0x51dB92258A3ab0F81de0FEAB5D59a77e49B57275,0x51dB92258A3ab0F81de0FEAB5D59a77e49B57275,1.020067,1020066900147751293,false,HEALTHY,""
0xe07abd2Ec4A114727D9Dec95037eF2477b1ad117,0x751c7ff8da3676C15cbDac5Acc10ED212673A170,0x751c7ff8da3676C15cbDac5Acc10ED212673A170,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xD5B4bc150E685C878DD8dD668133906E9188B828,0x3794AA651C6Ad5c3ee6c9E42c2d055B35E9E4db9,0x3794AA651C6Ad5c3ee6c9E42c2d055B35E9E4db9,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xe159994732Ea260c66e41463E2e25e960BC5f968,0x4A252ad7E71aFA00f1974E38BfFf5c8a31d1E03C,0x4A252ad7E71aFA00f1974E38BfFf5c8a31d1E03C,1.224085,1224084655064181060,false,HEALTHY,""
0x5252349165d953fA8B7758cD95C08F2138535231,0x2E373dA5AB5D39a20249BB7C9933d7C6bfB4DD9C,0x2E373dA5AB5D39a20249BB7C9933d7C6bfB4DD9C,1.276172,1276171971369314447,false,HEALTHY,""
0xE409E7aD277e03F9c1b9480A416520883E6E1443,0x1c9E242D85FC0E4376AD1ea56143b9fDf9f61017,0x1c9E242D85FC0E4376AD1ea56143b9fDf9f61017,1.153461,1153461241413162727,false,HEALTHY,""
